IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
161.81.170.146,13568,443,true,HKG,Asia Pacific,Hong Kong,71,3.04
8.218.243.95,8080,8080,false,HKG,Asia Pacific,Hong Kong,59,2.29
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,2.13
8.218.85.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,70,1.78
47.76.49.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,67,1.78
8.218.22.210,2095,2095,false,HKG,Asia Pacific,Hong Kong,70,1.54
8.210.151.69,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,1.51
47.242.59.216,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,1.45
8.218.127.249,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,1.31
47.245.40.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,154,1.29
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,1.24
47.243.162.49,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,1.15
8.210.156.6,8080,8080,false,HKG,Asia Pacific,Hong Kong,65,1.15
47.243.173.187,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,1.13
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,65,1.11
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,63,1.10
58.82.242.199,20500,443,true,HKG,Asia Pacific,Hong Kong,62,1.07
8.217.251.62,2095,2095,false,HKG,Asia Pacific,Hong Kong,58,1.07
47.243.162.49,2095,2095,false,HKG,Asia Pacific,Hong Kong,79,1.04
47.245.4.22,8443,8443,true,HKG,Asia Pacific,Hong Kong,149,1.02
8.218.127.249,80,80,false,HKG,Asia Pacific,Hong Kong,67,1.01
223.122.79.175,21190,443,true,HKG,Asia Pacific,Hong Kong,64,0.98
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,0.97
58.82.242.199,11130,443,true,HKG,Asia Pacific,Hong Kong,67,0.97
8.218.127.249,8880,8880,false,HKG,Asia Pacific,Hong Kong,58,0.97
223.122.79.175,24998,443,true,HKG,Asia Pacific,Hong Kong,69,0.95
223.122.79.175,30247,443,true,HKG,Asia Pacific,Hong Kong,69,0.94
47.243.162.49,80,80,false,HKG,Asia Pacific,Hong Kong,69,0.91
8.210.156.6,8880,8880,false,HKG,Asia Pacific,Hong Kong,78,0.91
